Date,Close,prob_up,signal,true_label,fwd_ret_5
2025-08-12,3348.89990234375,0.47969165,-1,0,-0.010600495994268155
2025-08-13,3358.699951171875,0.46936464,-1,0,-0.004555348512982449
2025-08-15,3336.0,0.47329646,-1,1,0.011510762093450255
2025-08-18,3331.699951171875,0.4752494,-1,1,0.012636221230378775
2025-08-19,3313.39990234375,0.50516975,1,1,0.02269578002320416
2025-08-20,3343.39990234375,0.5361652,1,1,0.018304778698353674
2025-08-21,3336.89990234375,0.538349,1,1,0.028439614391105872
2025-08-22,3374.39990234375,0.53687316,1,1,0.029427469091364733
2025-08-25,3373.800048828125,0.5326126,1,1,0.05204809146191658
2025-08-26,3388.60009765625,0.51677245,1,1,0.06037887257842489
2025-08-27,3404.60009765625,0.5266942,1,1,0.0473476903448502
2025-08-28,3431.800048828125,0.53299266,1,1,0.05285852898268173
2025-08-29,3473.699951171875,0.53199244,1,1,0.0473271004390905
2025-09-02,3549.39990234375,0.5580443,1,1,0.026455217520677365
2025-09-03,3593.199951171875,0.55232185,1,1,0.014026535447307253
2025-09-04,3565.800048828125,0.5080716,1,1,0.01993938317965749
2025-09-05,3613.199951171875,0.4935797,-1,1,0.010018806504227484
2025-09-08,3638.10009765625,0.49700862,-1,1,0.012121671293221281
2025-09-09,3643.300048828125,0.5095552,1,1,0.012516085116374809
2025-09-10,3643.60009765625,0.5392856,1,1,0.01048412288616607
2025-09-15,3682.199951171875,0.537748,1,1,0.01588724153379606
2025-09-16,3688.89990234375,0.54159546,1,1,0.02485841246444176
2025-09-17,3681.800048828125,0.5419441,1,1,0.013661808941562326
2025-09-18,3643.699951171875,0.53740126,1,1,0.025578382528973043
2025-09-19,3671.5,0.5296214,1,1,0.028271836804609762
2025-09-22,3740.699951171875,0.52692586,1,1,0.021439824690229425
2025-09-23,3780.60009765625,0.5444335,1,1,0.01592338507561153
2025-09-24,3732.10009765625,0.5502288,1,1,0.036279815332064924
2025-09-25,3736.89990234375,0.5215367,1,1,0.0275094467378294
2025-09-26,3775.300048828125,0.52478856,1,1,0.027944798727387976
2025-09-29,3820.89990234375,0.5239952,1,1,0.0333952997768876
2025-09-30,3840.800048828125,0.5765999,1,1,0.03535722950991915
2025-10-01,3867.5,0.57267714,1,1,0.04545573337508091
